"suite","cohort","task","metric","selected_pairs","measured_pairs","shell_mean_ns","transparent_mean_ns","delta_ns","delta_ci95_low_ns","delta_ci95_high_ns","ratio","ratio_ci95_low","ratio_ci95_high"
"offline","strict","argv_long","startup_to_ready_ns",10,10,20593375.1,21810334.5,1216959.4,323101.7,1951556.1,1.05909470371372,1.0153022385304844,1.096797724956962
"offline","strict","argv_long","tool_call_ns",10,10,58290726.6,58875660.3,584933.7,-1376462.2,2319290.1,1.0100347642604268,0.9767745627724289,1.0405261401249564
"offline","strict","argv_metacharacters","codex_total_ns",10,10,10282997839.4,10290444143,7446303.6,2508467.9,15588852.2,1.0007241374272655,1.0002439144121584,1.0015163577377515
"offline","strict","argv_metacharacters","startup_to_ready_ns",10,10,20823020,21429461.4,606441.4,-265676.2,1526065.1,1.029123604549196,0.9876546271010703,1.0759809011832655
"offline","strict","argv_metacharacters","tool_call_ns",10,10,54774480.8,56207052.2,1432571.4,-356164.8,3406957,1.0261539932296355,0.9935946443085455,1.063806176004388
"offline","strict","cancel_ctrl_c","codex_total_ns",10,10,10511880491.8,11505786374.7,993905882.9,-17966677.5,2997807151.9,1.0945507213172103,0.9984396704379103,1.3522169402623823
"offline","strict","cancel_ctrl_c","startup_to_ready_ns",10,10,21280144.3,22909154.7,1629010.4,528128,2618997,1.07655072150991,1.0237516514359162,1.128007339570684
"offline","strict","cancel_ctrl_c","tool_call_ns",10,10,1262962742.7,1262726282.1,-236460.6,-1187622.9,762568.9,0.999812773099312,0.999060122953188,1.0006040625332
"offline","strict","cancel_sigkill","codex_total_ns",10,10,12028572956.8,12027676820.9,-896135.9,-5932777.9,3913500.1,0.9999254994002017,0.9995069034266958,1.000325428045207
"offline","strict","cancel_sigkill","startup_to_ready_ns",10,10,21113275.4,21796318.2,683042.8,-249296.9,1625315.7,1.0323513423218076,0.9884924036295196,1.078967368850391
"offline","strict","cancel_sigkill","tool_call_ns",10,10,1795959360.1,1791407238.9,-4552121.2,-6856791,-1987518.8,0.9974653540045882,0.9961830276955123,0.9988923248244695
"offline","strict","cancel_sigterm","codex_total_ns",10,10,11532252572.8,11541415489.6,9162916.8,-9079500.1,29840247.2,1.0007945470099755,0.9992128962310953,1.002588639408275
"offline","strict","cancel_sigterm","startup_to_ready_ns",10,10,20748068,22242256.3,1494188.3,639128.8,2378430.3,1.072015779975273,1.0302537401179082,1.117334995443311
"offline","strict","cancel_sigterm","tool_call_ns",10,10,1290904441.3,1289874833.8,-1029607.5,-5031839.4,3632689,0.9992024138525984,0.9961092684741282,1.0028192851991609
"offline","strict","cwd_symlink","codex_total_ns",10,10,9286224517.5,9286020123.3,-204394.2,-4397809.7,3425132.2,0.9999779895263553,0.9995583852702031,1.0004163378989182
"offline","strict","cwd_symlink","startup_to_ready_ns",10,10,21282183.8,22104265.5,822081.7,-156438.9,1728282.6,1.0386276947763227,0.9928428942534322,1.0834699936300807
"offline","strict","cwd_symlink","tool_call_ns",10,10,55171023.9,56805572.4,1634548.5,289065,3017155,1.029626937918765,1.0051974379910658,1.0554337129333242
"offline","strict","descendant_cancel","codex_total_ns",10,10,11408600968.3,11407024679.5,-1576288.8,-15176951.1,12778342.9,0.9998618332953901,0.9986703783162078,1.0011205958396496
"offline","strict","descendant_cancel","startup_to_ready_ns",10,10,21164106.4,22707780,1543673.6,218806.8,2735151.3,1.0729382838483557,1.0101419021226732,1.1339775435044814
"offline","strict","descendant_cancel","tool_call_ns",10,10,1163108913.8,1163923892.5,814978.7,-558108.7,1967223.3,1.000700689927083,0.9995206324644479,1.0016925163631472
"offline","strict","descendant_pipe_tail","codex_total_ns",10,10,9288274150.4,9292258873.6,3984723.2,-3051126.6,10542930.6,1.0004290057695842,0.9996865028458534,1.0012169224777956
"offline","strict","descendant_pipe_tail","startup_to_ready_ns",10,10,21076890.6,22870497.9,1793607.3,920310.8,2703506.4,1.0850982876952446,1.042318812507315,1.1333058564704679
"offline","strict","descendant_pipe_tail","tool_call_ns",10,10,57203082,58770254,1567172,-350772.7,3320971.7,1.0273966357267255,0.9939998982229644,1.0585438805287533
"offline","strict","environment_empty_unset","codex_total_ns",10,10,10291556130.7,10292254830.8,698700.1,-9354124.4,8969179.1,1.000067890617427,0.999091576320323,1.0008721462548034
"offline","strict","environment_empty_unset","startup_to_ready_ns",10,10,22165218.1,22333255.5,168037.4,-522566.8,863035.8,1.0075811300047617,0.9766329666131917,1.039339933679895
"offline","strict","environment_empty_unset","tool_call_ns",10,10,58376228.9,56298929.5,-2077299.4,-6526929.2,1227275.5,0.9644153204284835,0.8949279149782601,1.0219036206922347
"offline","strict","environment_path_login","codex_total_ns",10,10,10288011659.6,10289437881.1,1426221.5,-7575104.7,9862105.5,1.000138629459918,0.999264044604945,1.000958983939484
"offline","strict","environment_path_login","startup_to_ready_ns",10,10,21065267.1,21939166.3,873899.2,-587438.7,2472065.9,1.0414853130440487,0.9728401091787714,1.1217736669642537
