pair_id,backend,task_id,observation,sample_phase,status,startup_ns,spawn_return_ns,fixture_ready_ns
"formal-full-native-noop-0041","shell","native-noop","full","formal","success","388611","22913994970969","22913995226139"
"formal-full-native-noop-0041","transparent","native-noop","full","formal","success","975551","22913987649683","22913988505209"
"formal-full-native-noop-0042","shell","native-noop","full","formal","success","444430","22914017121602","22914017421503"
"formal-full-native-noop-0042","transparent","native-noop","full","formal","success","959060","22914023994534","22914024838699"
"formal-full-native-noop-0043","shell","native-noop","full","formal","success","535319","22914039099495","22914039408956"
"formal-full-native-noop-0043","transparent","native-noop","full","formal","success","928785","22914031327951","22914032133190"
"formal-full-native-noop-0044","shell","native-noop","full","formal","success","427406","22914061597559","22914061895987"
"formal-full-native-noop-0044","transparent","native-noop","full","formal","success","1000038","22914068163538","22914069043863"
"formal-full-native-noop-0045","shell","native-noop","full","formal","success","459297","22914083136822","22914083440179"
"formal-full-native-noop-0045","transparent","native-noop","full","formal","success","980482","22914075553554","22914076428876"
"formal-full-native-noop-0046","shell","native-noop","full","formal","success","414725","22914105278410","22914105575180"
"formal-full-native-noop-0046","transparent","native-noop","full","formal","success","871858","22914112089927","22914112809190"
"formal-full-native-noop-0047","shell","native-noop","full","formal","success","425488","22914126472830","22914126767418"
"formal-full-native-noop-0047","transparent","native-noop","full","formal","success","906084","22914119401342","22914120185790"
"formal-full-native-noop-0048","shell","native-noop","full","formal","success","404719","22914148766290","22914149076214"
"formal-full-native-noop-0048","transparent","native-noop","full","formal","success","1035476","22914155806811","22914156687055"
"formal-full-native-noop-0049","shell","native-noop","full","formal","success","416828","22914170310556","22914170618024"
"formal-full-native-noop-0049","transparent","native-noop","full","formal","success","952172","22914163314983","22914164143829"
"formal-full-native-noop-0050","shell","native-noop","full","formal","success","427054","22914192553211","22914192859910"
"formal-full-native-noop-0050","transparent","native-noop","full","formal","success","926421","22914199350984","22914200175968"
"formal-full-native-noop-0051","shell","native-noop","full","formal","success","394172","22914214010130","22914214239027"
"formal-full-native-noop-0051","transparent","native-noop","full","formal","success","967550","22914206582264","22914207451111"
"formal-full-native-noop-0052","shell","native-noop","full","formal","success","433597","22914235956683","22914236269025"
"formal-full-native-noop-0052","transparent","native-noop","full","formal","success","997554","22914242937691","22914243778712"
"formal-full-native-noop-0053","shell","native-noop","full","formal","success","509309","22914257829320","22914258190098"
"formal-full-native-noop-0053","transparent","native-noop","full","formal","success","969284","22914250276523","22914251125529"
"formal-full-native-noop-0054","shell","native-noop","full","formal","success","429686","22914280250695","22914280479730"
"formal-full-native-noop-0054","transparent","native-noop","full","formal","success","870737","22914287468991","22914288213705"
"formal-full-native-noop-0055","shell","native-noop","full","formal","success","472319","22914301824841","22914302176505"
"formal-full-native-noop-0055","transparent","native-noop","full","formal","success","958434","22914294278521","22914295131986"
"formal-full-native-noop-0056","shell","native-noop","full","formal","success","416819","22914324753416","22914325053881"
"formal-full-native-noop-0056","transparent","native-noop","full","formal","success","875370","22914330994703","22914331744625"
"formal-full-native-noop-0057","shell","native-noop","full","formal","success","405435","22914345176720","22914345479299"
"formal-full-native-noop-0057","transparent","native-noop","full","formal","success","948976","22914338303971","22914339120965"
"formal-full-native-noop-0058","shell","native-noop","full","formal","success","416493","22914367454011","22914367755101"
"formal-full-native-noop-0058","transparent","native-noop","full","formal","success","976297","22914374057459","22914374911236"
"formal-full-native-noop-0059","shell","native-noop","full","formal","success","402693","22914389011122","22914389231691"
"formal-full-native-noop-0059","transparent","native-noop","full","formal","success","950804","22914381556676","22914382384634"
"formal-full-native-noop-0060","shell","native-noop","full","formal","success","471727","22914411048447","22914411342935"
"formal-full-native-noop-0060","transparent","native-noop","full","formal","success","997248","22914417655551","22914418529844"
"formal-full-native-noop-0061","shell","native-noop","full","formal","success","427767","22914432359148","22914432684616"
"formal-full-native-noop-0061","transparent","native-noop","full","formal","success","941923","22914425065141","22914425879027"
"formal-full-native-noop-0062","shell","native-noop","full","formal","success","419511","22914454793927","22914455091210"
"formal-full-native-noop-0062","transparent","native-noop","full","formal","success","943635","22914461450400","22914462276536"
"formal-full-native-noop-0063","shell","native-noop","full","formal","success","363971","22914475984191","22914476223982"
"formal-full-native-noop-0063","transparent","native-noop","full","formal","success","963024","22914468492989","22914469327241"
"formal-full-native-noop-0064","shell","native-noop","full","formal","success","397560","22914497876601","22914498151988"
"formal-full-native-noop-0064","transparent","native-noop","full","formal","success","966094","22914504148931","22914505009801"
"formal-full-native-noop-0065","shell","native-noop","full","formal","success","423665","22914518748219","22914519061198"
"formal-full-native-noop-0065","transparent","native-noop","full","formal","success","971231","22914511406853","22914512252966"
"formal-full-native-noop-0066","shell","native-noop","full","formal","success","423049","22914540855600","22914541158492"
"formal-full-native-noop-0066","transparent","native-noop","full","formal","success","986947","22914547766198","22914548630887"
"formal-full-native-noop-0067","shell","native-noop","full","formal","success","486329","22914563013351","22914563326851"
